;LINE;COMP;TYPE;RPM;DIAMETER(IN);PITCH(IN);BLADE(nb);THRUST(LBF);POWER(HP);TORQUE(IN.LBF);Cp;Ct;AREA(m^2);THRUST(N);POWER(W);ANGLE;EFF;N.D
5201;5472.0;339.0;E;15000.0;5.5;4.5;2.0;0.79;0.09;0.37;0.06;0.12;0.02;3.5155;67.113;0.82;48.989796;82500.0
5202;5473.0;339.0;E;16000.0;5.5;4.5;2.0;0.89;0.11;0.42;0.06;0.12;0.02;3.9605;82.027;0.82;48.989796;88000.0
5203;5830.0;348.0;E;28000.0;5.0;5.0;2.0;1.87;0.38;0.84;0.07;0.12;0.01;8.3215;283.366;1.0;41.991253;140000.0
5204;5831.0;348.0;E;29000.0;5.0;5.0;2.0;2.0;0.41;0.9;0.07;0.12;0.01;8.9;305.737;1.0;41.991253;145000.0
5205;5832.0;348.0;E;30000.0;5.0;5.0;2.0;2.14;0.45;0.95;0.07;0.12;0.01;9.523;335.565;1.0;41.991253;150000.0
5206;5833.0;348.0;E;31000.0;5.0;5.0;2.0;2.28;0.5;1.01;0.07;0.12;0.01;10.146;372.85;1.0;41.991253;155000.0
5207;5834.0;348.0;E;32000.0;5.0;5.0;2.0;2.43;0.54;1.06;0.07;0.12;0.01;10.8135;402.678;1.0;41.991253;160000.0
5208;5835.0;348.0;E;33000.0;5.0;5.0;2.0;2.59;0.59;1.12;0.07;0.12;0.01;11.5255;439.963;1.0;41.991253;165000.0
5209;5837.0;348.0;E;35000.0;5.0;5.0;2.0;2.92;0.76;1.37;0.07;0.12;0.01;12.994;566.732;1.0;41.991253;175000.0
5210;6351.0;363.0;E;26999.0;6.0;4.0;2.0;3.64;0.86;2.01;0.07;0.12;0.02;16.198;641.302;0.67;41.991253;161994.0
5211;5474.0;339.0;E;17000.0;5.5;4.5;2.0;1.01;0.13;0.47;0.06;0.12;0.02;4.4945;96.941;0.82;48.989796;93500.0
5212;5475.0;339.0;E;18000.0;5.5;4.5;2.0;1.13;0.15;0.53;0.06;0.12;0.02;5.0285;111.855;0.82;48.989796;99000.0
5213;5476.0;339.0;E;19000.0;5.5;4.5;2.0;1.26;0.17;0.58;0.06;0.12;0.02;5.607;126.769;0.82;48.989796;104500.0
5214;5477.0;339.0;E;20000.0;5.5;4.5;2.0;1.39;0.2;0.63;0.06;0.12;0.02;6.1855;149.14;0.82;48.989796;110000.0
5215;5478.0;339.0;E;21000.0;5.5;4.5;2.0;1.53;0.23;0.69;0.06;0.12;0.02;6.8085;171.511;0.82;48.989796;115500.0
