;LINE;COMP;TYPE;RPM;DIAMETER(IN);PITCH(IN);BLADE(nb);THRUST(LBF);POWER(HP);TORQUE(IN.LBF);Cp;Ct;AREA(m^2);THRUST(N);POWER(W);ANGLE;EFF;N.D
0;1.0;1.0;;1000.0;10.5;4.5;2.0;0.03;0.01;0.02;0.03;0.08;0.06;0.1335;7.457;0.43;60.18022;10500.0
1;2.0;1.0;;2000.0;10.5;4.5;2.0;0.13;0.01;0.08;0.03;0.08;0.06;0.5785;7.457;0.43;60.18022;21000.0
2;3.0;1.0;;3000.0;10.5;4.5;2.0;0.29;0.01;0.17;0.03;0.08;0.06;1.2905;7.457;0.43;60.18022;31500.0
3;4.0;1.0;;4000.0;10.5;4.5;2.0;0.52;0.02;0.3;0.03;0.08;0.06;2.314;14.914;0.43;60.18022;42000.0
4;5.0;1.0;;5000.0;10.5;4.5;2.0;0.81;0.04;0.47;0.03;0.08;0.06;3.6045;29.828;0.43;60.18022;52500.0
5;6.0;1.0;;6000.0;10.5;4.5;2.0;1.17;0.06;0.68;0.03;0.08;0.06;5.2065;44.742;0.43;60.18022;63000.0
6;7.0;1.0;;7000.0;10.5;4.5;2.0;1.6;0.1;0.91;0.03;0.08;0.06;7.12;74.57;0.43;60.18022;73500.0
7;8.0;1.0;;8000.0;10.5;4.5;2.0;2.1;0.15;1.17;0.03;0.08;0.06;9.345;111.855;0.43;60.18022;84000.0
8;9.0;1.0;;9000.0;10.5;4.5;2.0;2.66;0.21;1.47;0.03;0.08;0.06;11.837;156.597;0.43;60.18022;94500.0
9;10.0;1.0;;10000.0;10.5;4.5;2.0;3.31;0.29;1.81;0.03;0.09;0.06;14.7295;216.253;0.43;71.80961;105000.0
10;11.0;1.0;;11000.0;10.5;4.5;2.0;4.05;0.42;2.41;0.03;0.09;0.06;18.0225;313.194;0.43;71.80961;115500.0
11;12.0;1.0;;12000.0;10.5;4.5;2.0;4.87;0.6;3.15;0.03;0.09;0.06;21.6715;447.42;0.43;71.80961;126000.0
12;13.0;1.0;;13000.0;10.5;4.5;2.0;5.79;0.83;4.05;0.04;0.09;0.06;25.7655;618.931;0.43;53.85721;136500.0
13;14.0;1.0;;13999.0;10.5;4.5;2.0;6.8;1.15;5.16;0.04;0.09;0.06;30.26;857.555;0.43;53.85721;146989.5
14;15.0;1.0;;15000.0;10.5;4.5;2.0;7.91;1.56;6.57;0.05;0.09;0.06;35.1995;1163.292;0.43;43.085766;157500.0
15;16.0;1.0;;16000.0;10.5;4.5;2.0;9.1;2.12;8.36;0.05;0.09;0.06;40.495;1580.884;0.43;43.085766;168000.0
16;17.0;1.0;;17000.0;10.5;4.5;2.0;10.42;2.93;10.88;0.06;0.09;0.06;46.369;2184.901;0.43;35.904804;178500.0
17;18.0;1.0;;18000.0;10.5;4.5;2.0;11.99;5.11;17.91;0.09;0.1;0.06;53.3555;3810.527;0.43;28.034805;189000.0
18;19.0;1.0;;19000.0;10.5;4.5;2.0;13.56;7.51;24.9;0.11;0.1;0.06;60.342;5600.207;0.43;22.937569;199500.0
19;20.0;1.0;;20000.0;10.5;4.5;2.0;15.0;8.83;27.82;0.11;0.1;0.06;66.75;6584.531;0.43;22.937569;210000.0
20;21.0;1.0;;21000.0;10.5;4.5;2.0;16.49;11.99;35.99;0.13;0.1;0.06;73.3805;8940.943;0.43;19.408712;220500.0
21;22.0;1.0;;22000.0;10.5;4.5;2.0;17.37;9.31;26.66;0.09;0.09;0.06;77.2965;6942.467;0.43;23.936537;231000.0
22;23.0;1.0;;23000.0;10.5;4.5;2.0;18.51;9.81;26.88;0.08;0.09;0.06;82.3695;7315.317;0.43;26.928604;241500.0
23;24.0;2.0;;1000.0;10.5;6.0;2.0;0.05;0.01;0.03;0.05;0.12;0.06;0.2225;7.457;0.57;66.33488;10500.0
24;25.0;2.0;;2000.0;10.5;6.0;2.0;0.18;0.01;0.13;0.05;0.12;0.06;0.801;7.457;0.57;66.33488;21000.0
25;26.0;2.0;;3000.0;10.5;6.0;2.0;0.4;0.02;0.3;0.05;0.12;0.06;1.78;14.914;0.57;66.33488;31500.0
26;27.0;2.0;;4000.0;10.5;6.0;2.0;0.72;0.03;0.53;0.05;0.12;0.06;3.204;22.371;0.57;66.33488;42000.0
27;28.0;2.0;;5000.0;10.5;6.0;2.0;1.12;0.06;0.81;0.05;0.12;0.06;4.984;44.742;0.57;66.33488;52500.0
28;29.0;2.0;;6000.0;10.5;6.0;2.0;1.62;0.11;1.13;0.05;0.12;0.06;7.209;82.027;0.57;66.33488;63000.0
29;30.0;2.0;;7000.0;10.5;6.0;2.0;2.21;0.17;1.56;0.05;0.12;0.06;9.8345;126.769;0.57;66.33488;73500.0
30;31.0;2.0;;8000.0;10.5;6.0;2.0;2.93;0.31;2.41;0.06;0.12;0.06;13.0385;231.167;0.57;55.279064;84000.0
31;32.0;2.0;;9000.0;10.5;6.0;2.0;3.75;0.5;3.51;0.07;0.12;0.06;16.6875;372.85;0.57;47.382053;94500.0
32;33.0;2.0;;10000.0;10.5;6.0;2.0;4.69;0.78;4.9;0.08;0.12;0.06;20.8705;581.646;0.57;41.459297;105000.0
33;34.0;2.0;;11000.0;10.5;6.0;2.0;5.74;1.16;6.65;0.08;0.12;0.06;25.543;865.012;0.57;41.459297;115500.0
34;35.0;2.0;;12000.0;10.5;6.0;2.0;6.91;1.68;8.81;0.09;0.12;0.06;30.7495;1252.776;0.57;36.85271;126000.0
35;36.0;2.0;;13000.0;10.5;6.0;2.0;8.21;2.38;11.54;0.11;0.13;0.06;36.5345;1774.766;0.57;33.998707;136500.0
36;37.0;2.0;;13999.0;10.5;6.0;2.0;9.58;3.13;14.11;0.11;0.13;0.06;42.631;2334.041;0.57;33.998707;146989.5
37;38.0;2.0;;15000.0;10.5;6.0;2.0;10.96;3.66;15.36;0.11;0.13;0.06;48.772;2729.262;0.57;33.998707;157500.0
38;39.0;2.0;;16000.0;10.5;6.0;2.0;12.41;4.22;16.64;0.1;0.13;0.06;55.2245;3146.854;0.57;37.39858;168000.0
39;40.0;2.0;;17000.0;10.5;6.0;2.0;13.99;5.42;20.09;0.11;0.12;0.06;62.2555;4041.694;0.57;30.152216;178500.0
40;41.0;2.0;;18000.0;10.5;6.0;2.0;15.6;6.16;21.56;0.1;0.12;0.06;69.42;4593.512;0.57;33.16744;189000.0
41;42.0;2.0;;19000.0;10.5;6.0;2.0;17.26;6.57;21.79;0.09;0.12;0.06;76.807;4899.249;0.57;36.85271;199500.0
42;43.0;3.0;;1000.0;10.0;10.0;2.0;0.04;0.01;0.04;0.08;0.12;0.05;0.178;7.457;1.0;41.459297;10000.0
43;44.0;3.0;;2000.0;10.0;10.0;2.0;0.16;0.01;0.16;0.08;0.12;0.05;0.712;7.457;1.0;41.459297;20000.0
44;45.0;3.0;;3000.0;10.0;10.0;2.0;0.35;0.02;0.35;0.08;0.12;0.05;1.5575;14.914;1.0;41.459297;30000.0
45;46.0;3.0;;4000.0;10.0;10.0;2.0;0.62;0.04;0.62;0.08;0.12;0.05;2.759;29.828;1.0;41.459297;40000.0
46;47.0;3.0;;5000.0;10.0;10.0;2.0;0.97;0.07;0.94;0.07;0.12;0.05;4.3165;52.199;1.0;47.382053;50000.0
47;48.0;3.0;;6000.0;10.0;10.0;2.0;1.39;0.12;1.26;0.07;0.12;0.05;6.1855;89.484;1.0;47.382053;60000.0
48;49.0;3.0;;7000.0;10.0;10.0;2.0;1.88;0.18;1.6;0.06;0.12;0.05;8.366;134.226;1.0;55.279064;70000.0
49;50.0;3.0;;8000.0;10.0;10.0;2.0;2.49;0.34;2.7;0.08;0.12;0.05;11.0805;253.538;1.0;41.459297;80000.0
50;51.0;3.0;;9000.0;10.0;10.0;2.0;3.27;0.76;5.33;0.13;0.13;0.05;14.5515;566.732;1.0;28.768137;90000.0
51;52.0;3.0;;10000.0;10.0;10.0;2.0;4.16;1.4;8.8;0.17;0.13;0.05;18.512;1043.98;1.0;21.999163;100000.0
52;53.0;3.0;;11000.0;10.0;10.0;2.0;5.18;2.31;13.21;0.22;0.13;0.05;23.051;1722.567;1.0;16.999353;110000.0
53;54.0;3.0;;12000.0;10.0;10.0;2.0;6.33;3.56;18.72;0.26;0.14;0.05;28.1685;2654.692;1.0;16.075289;120000.0
54;55.0;3.0;;13000.0;10.0;10.0;2.0;7.62;5.26;25.49;0.3;0.14;0.05;33.909;3922.382;1.0;13.931916;130000.0
55;56.0;3.0;;13999.0;10.0;10.0;2.0;9.06;7.5;33.76;0.34;0.15;0.05;40.317;5592.75;1.0;13.633207;139990.0
56;57.0;3.0;;15000.0;10.0;10.0;2.0;10.67;10.43;43.82;0.38;0.15;0.05;47.4815;7777.651;1.0;12.1981325;150000.0
57;58.0;3.0;;16000.0;10.0;10.0;2.0;11.87;11.52;45.4;0.35;0.15;0.05;52.8215;8590.464;1.0;13.243687;160000.0
58;59.0;3.0;;17000.0;10.0;10.0;2.0;13.09;12.52;46.4;0.32;0.14;0.05;58.2505;9336.164;1.0;13.061172;170000.0
59;60.0;3.0;;18000.0;10.0;10.0;2.0;14.47;14.49;50.75;0.31;0.14;0.05;64.3915;10805.193;1.0;13.4825;180000.0
60;2071.0;117.0;E;11000.0;13.0;4.0;2.0;8.18;0.91;5.2;0.02;0.08;0.09;36.401;678.587;0.31;80.0;143000.0
61;2072.0;117.0;E;12000.0;13.0;4.0;2.0;9.91;1.21;6.37;0.02;0.08;0.09;44.0995;902.297;0.31;80.0;156000.0
62;2073.0;117.0;E;13000.0;13.0;4.0;2.0;11.86;1.57;7.63;0.02;0.08;0.09;52.777;1170.749;0.31;80.0;169000.0
63;2074.0;117.0;E;13999.0;13.0;4.0;2.0;14.09;2.0;9.02;0.02;0.08;0.09;62.7005;1491.4;0.31;80.0;181987.0
64;67.0;4.0;E;7000.0;10.0;10.0;2.0;1.83;0.17;1.56;0.06;0.12;0.05;8.1435;126.769;1.0;48.989796;70000.0
65;68.0;4.0;E;8000.0;10.0;10.0;2.0;2.38;0.25;1.94;0.06;0.12;0.05;10.591;186.425;1.0;48.989796;80000.0
66;69.0;4.0;E;9000.0;10.0;10.0;2.0;3.01;0.35;2.47;0.06;0.12;0.05;13.3945;260.995;1.0;48.989796;90000.0
67;61.0;4.0;E;1000.0;10.0;10.0;2.0;0.04;0.01;0.04;0.07;0.12;0.05;0.178;7.457;1.0;41.991253;10000.0
68;62.0;4.0;E;2000.0;10.0;10.0;2.0;0.15;0.01;0.14;0.07;0.12;0.05;0.6675;7.457;1.0;41.991253;20000.0
69;63.0;4.0;E;3000.0;10.0;10.0;2.0;0.34;0.02;0.31;0.07;0.12;0.05;1.513;14.914;1.0;41.991253;30000.0
70;64.0;4.0;E;4000.0;10.0;10.0;2.0;0.6;0.04;0.56;0.07;0.12;0.05;2.67;29.828;1.0;41.991253;40000.0
71;65.0;4.0;E;5000.0;10.0;10.0;2.0;0.94;0.07;0.88;0.07;0.12;0.05;4.183;52.199;1.0;41.991253;50000.0
72;4526.0;312.0;E;7000.0;25.0;12.5;2.0;58.01;9.33;83.99;0.03;0.1;0.32;258.1445;6957.381;0.5;74.5356;175000.0
73;66.0;4.0;E;6000.0;10.0;10.0;2.0;1.35;0.12;1.22;0.07;0.12;0.05;6.0075;89.484;1.0;41.991253;60000.0
74;70.0;4.0;E;10000.0;10.0;10.0;2.0;3.83;0.75;4.74;0.09;0.12;0.05;17.0435;559.275;1.0;32.659863;100000.0
75;71.0;4.0;E;11000.0;10.0;10.0;2.0;4.75;1.34;7.69;0.13;0.12;0.05;21.1375;999.238;1.0;22.610674;110000.0
76;72.0;4.0;E;12000.0;10.0;10.0;2.0;5.79;2.17;11.41;0.16;0.13;0.05;25.7655;1618.169;1.0;20.714767;120000.0
77;73.0;4.0;E;13000.0;10.0;10.0;2.0;6.96;3.32;16.11;0.19;0.13;0.05;30.972;2475.724;1.0;17.444014;130000.0
78;74.0;4.0;E;13999.0;10.0;10.0;2.0;8.26;4.84;21.78;0.22;0.13;0.05;36.757;3609.188;1.0;15.065285;139990.0
79;81.0;5.0;;1000.0;10.0;3.0;2.0;0.03;0.01;0.01;0.03;0.08;0.05;0.1335;7.457;0.3;60.18022;10000.0
80;82.0;5.0;;2000.0;10.0;3.0;2.0;0.1;0.01;0.05;0.03;0.08;0.05;0.445;7.457;0.3;60.18022;20000.0
81;83.0;5.0;;3000.0;10.0;3.0;2.0;0.22;0.01;0.12;0.03;0.08;0.05;0.979;7.457;0.3;60.18022;30000.0
82;84.0;5.0;;4000.0;10.0;3.0;2.0;0.4;0.01;0.21;0.03;0.08;0.05;1.78;7.457;0.3;60.18022;40000.0
83;85.0;5.0;;5000.0;10.0;3.0;2.0;0.62;0.03;0.33;0.03;0.08;0.05;2.759;22.371;0.3;60.18022;50000.0
84;86.0;5.0;;6000.0;10.0;3.0;2.0;0.89;0.04;0.46;0.03;0.08;0.05;3.9605;29.828;0.3;60.18022;60000.0
85;87.0;5.0;;7000.0;10.0;3.0;2.0;1.22;0.07;0.62;0.02;0.08;0.05;5.429;52.199;0.3;90.27033;70000.0
86;88.0;5.0;;8000.0;10.0;3.0;2.0;1.6;0.1;0.79;0.02;0.08;0.05;7.12;74.57;0.3;90.27033;80000.0
87;89.0;5.0;;9000.0;10.0;3.0;2.0;2.04;0.14;1.01;0.02;0.08;0.05;9.078;104.398;0.3;90.27033;90000.0
88;90.0;5.0;;10000.0;10.0;3.0;2.0;2.54;0.2;1.26;0.02;0.08;0.05;11.303;149.14;0.3;90.27033;100000.0
89;91.0;5.0;;11000.0;10.0;3.0;2.0;3.09;0.27;1.54;0.03;0.08;0.05;13.7505;201.339;0.3;60.18022;110000.0
90;92.0;5.0;;12000.0;10.0;3.0;2.0;3.71;0.35;1.86;0.03;0.08;0.05;16.5095;260.995;0.3;60.18022;120000.0
91;93.0;5.0;;13000.0;10.0;3.0;2.0;4.4;0.46;2.21;0.03;0.08;0.05;19.58;343.022;0.3;60.18022;130000.0
92;94.0;5.0;;13999.0;10.0;3.0;2.0;5.16;0.58;2.61;0.03;0.08;0.05;22.962;432.506;0.3;60.18022;139990.0
93;105.0;6.0;SF;2000.0;10.0;3.8;2.0;0.17;0.01;0.11;0.06;0.13;0.05;0.7565;7.457;0.38;62.330963;20000.0
94;95.0;5.0;;15000.0;10.0;3.0;2.0;6.0;0.73;3.06;0.03;0.08;0.05;26.7;544.361;0.3;60.18022;150000.0
95;96.0;5.0;;16000.0;10.0;3.0;2.0;6.93;0.9;3.55;0.03;0.09;0.05;30.8385;671.13;0.3;71.80961;160000.0
96;97.0;5.0;;17000.0;10.0;3.0;2.0;7.95;1.1;4.07;0.03;0.09;0.05;35.3775;820.27;0.3;71.80961;170000.0
97;98.0;5.0;;18000.0;10.0;3.0;2.0;9.1;1.33;4.66;0.03;0.09;0.05;40.495;991.781;0.3;71.80961;180000.0
98;99.0;5.0;;19000.0;10.0;3.0;2.0;10.47;1.64;5.44;0.03;0.09;0.05;46.5915;1222.948;0.3;71.80961;190000.0
99;100.0;5.0;;20000.0;10.0;3.0;2.0;12.41;2.27;7.14;0.04;0.1;0.05;55.2245;1692.739;0.3;63.078312;200000.0
100;101.0;5.0;;21000.0;10.0;3.0;2.0;14.46;3.08;9.25;0.04;0.1;0.05;64.347;2296.756;0.3;63.078312;210000.0
101;102.0;5.0;;22000.0;10.0;3.0;2.0;15.83;3.82;10.94;0.04;0.1;0.05;70.4435;2848.574;0.3;63.078312;220000.0
102;103.0;5.0;;23000.0;10.0;3.0;2.0;17.08;4.5;12.34;0.05;0.1;0.05;76.006;3355.65;0.3;50.46265;230000.0
103;104.0;5.0;;24000.0;10.0;3.0;2.0;17.77;5.36;14.08;0.05;0.1;0.05;79.0765;3996.952;0.3;50.46265;240000.0
104;106.0;6.0;SF;3000.0;10.0;3.8;2.0;0.37;0.01;0.25;0.05;0.13;0.05;1.6465;7.457;0.38;74.79716;30000.0
105;107.0;6.0;SF;4000.0;10.0;3.8;2.0;0.65;0.03;0.44;0.05;0.13;0.05;2.8925;22.371;0.38;74.79716;40000.0
106;108.0;6.0;SF;5000.0;10.0;3.8;2.0;1.01;0.05;0.67;0.05;0.13;0.05;4.4945;37.285;0.38;74.79716;50000.0
107;109.0;6.0;SF;6000.0;10.0;3.8;2.0;1.46;0.09;0.95;0.05;0.13;0.05;6.497;67.113;0.38;74.79716;60000.0
108;110.0;6.0;SF;7000.0;10.0;3.8;2.0;1.99;0.14;1.31;0.05;0.13;0.05;8.8555;104.398;0.38;74.79716;70000.0
109;111.0;6.0;SF;8000.0;10.0;3.8;2.0;2.61;0.22;1.73;0.05;0.13;0.05;11.6145;164.054;0.38;74.79716;80000.0
110;112.0;6.0;SF;9000.0;10.0;3.8;2.0;3.32;0.32;2.22;0.05;0.13;0.05;14.774;238.624;0.38;74.79716;90000.0
111;113.0;6.0;SF;10000.0;10.0;3.8;2.0;4.12;0.44;2.78;0.05;0.13;0.05;18.334;328.108;0.38;74.79716;100000.0
112;114.0;6.0;SF;11000.0;10.0;3.8;2.0;5.01;0.6;3.42;0.06;0.13;0.05;22.2945;447.42;0.38;62.330963;110000.0
113;115.0;6.0;SF;12000.0;10.0;3.8;2.0;6.0;0.78;4.12;0.06;0.13;0.05;26.7;581.646;0.38;62.330963;120000.0
114;116.0;6.0;SF;13000.0;10.0;3.8;2.0;7.13;1.0;4.84;0.06;0.13;0.05;31.7285;745.7;0.38;62.330963;130000.0
115;117.0;6.0;SF;13999.0;10.0;3.8;2.0;8.33;1.25;5.61;0.06;0.13;0.05;37.0685;932.125;0.38;62.330963;139990.0
116;124.0;7.0;;1000.0;10.0;4.0;2.0;0.03;0.01;0.02;0.04;0.1;0.05;0.1335;7.457;0.4;63.078312;10000.0
117;118.0;6.0;SF;15000.0;10.0;3.8;2.0;9.67;1.54;6.48;0.06;0.13;0.05;43.0315;1148.378;0.38;62.330963;150000.0
118;119.0;6.0;SF;16000.0;10.0;3.8;2.0;11.14;1.89;7.44;0.06;0.14;0.05;49.573;1409.373;0.38;69.659584;160000.0
119;120.0;6.0;SF;17000.0;10.0;3.8;2.0;12.77;2.3;8.52;0.06;0.14;0.05;56.8265;1715.11;0.38;69.659584;170000.0
120;121.0;6.0;SF;18000.0;10.0;3.8;2.0;14.61;2.81;9.84;0.06;0.14;0.05;65.0145;2095.417;0.38;69.659584;180000.0
121;122.0;6.0;SF;19000.0;10.0;3.8;2.0;16.77;3.48;11.53;0.06;0.15;0.05;74.6265;2595.036;0.38;77.25484;190000.0
122;123.0;6.0;SF;20000.0;10.0;3.8;2.0;19.05;4.24;13.35;0.07;0.15;0.05;84.7725;3161.768;0.38;66.21844;200000.0
123;125.0;7.0;;2000.0;10.0;4.0;2.0;0.12;0.01;0.07;0.04;0.1;0.05;0.534;7.457;0.4;63.078312;20000.0
124;126.0;7.0;;3000.0;10.0;4.0;2.0;0.28;0.01;0.17;0.04;0.1;0.05;1.246;7.457;0.4;63.078312;30000.0
125;127.0;7.0;;5000.0;10.0;4.0;2.0;0.78;0.04;0.46;0.04;0.1;0.05;3.471;29.828;0.4;63.078312;50000.0
126;128.0;7.0;;6000.0;10.0;4.0;2.0;1.12;0.06;0.64;0.04;0.1;0.05;4.984;44.742;0.4;63.078312;60000.0
127;129.0;7.0;;7000.0;10.0;4.0;2.0;1.53;0.1;0.86;0.03;0.1;0.05;6.8085;74.57;0.4;84.104416;70000.0
128;130.0;7.0;;8000.0;10.0;4.0;2.0;2.01;0.14;1.14;0.04;0.1;0.05;8.9445;104.398;0.4;63.078312;80000.0
129;131.0;7.0;;9000.0;10.0;4.0;2.0;2.57;0.22;1.52;0.04;0.1;0.05;11.4365;164.054;0.4;63.078312;90000.0
130;132.0;7.0;;10000.0;10.0;4.0;2.0;3.2;0.31;1.96;0.04;0.1;0.05;14.24;231.167;0.4;63.078312;100000.0
131;133.0;7.0;;11000.0;10.0;4.0;2.0;3.91;0.43;2.47;0.04;0.1;0.05;17.3995;320.651;0.4;63.078312;110000.0
132;134.0;7.0;;12000.0;10.0;4.0;2.0;4.7;0.58;3.07;0.04;0.1;0.05;20.915;432.506;0.4;63.078312;120000.0
133;135.0;7.0;;13000.0;10.0;4.0;2.0;5.58;0.78;3.76;0.04;0.1;0.05;24.831;581.646;0.4;63.078312;130000.0
134;136.0;7.0;;13999.0;10.0;4.0;2.0;6.56;1.01;4.55;0.05;0.1;0.05;29.192;753.157;0.4;50.46265;139990.0
135;147.0;8.0;MR;2000.0;10.0;4.5;2.0;0.14;0.01;0.09;0.04;0.11;0.05;0.623;7.457;0.45;72.772804;20000.0
136;137.0;7.0;;15000.0;10.0;4.0;2.0;7.64;1.3;5.46;0.05;0.11;0.05;33.998;969.41;0.4;58.218243;150000.0
137;138.0;7.0;;16000.0;10.0;4.0;2.0;8.8;1.57;6.16;0.05;0.11;0.05;39.16;1170.749;0.4;58.218243;160000.0
138;139.0;7.0;;17000.0;10.0;4.0;2.0;10.08;1.86;6.91;0.05;0.11;0.05;44.856;1387.002;0.4;58.218243;170000.0
139;140.0;7.0;;18000.0;10.0;4.0;2.0;11.56;2.23;7.8;0.05;0.11;0.05;51.442;1662.911;0.4;58.218243;180000.0
140;141.0;7.0;;19000.0;10.0;4.0;2.0;13.47;2.85;9.44;0.05;0.12;0.05;59.9415;2125.245;0.4;66.33488;190000.0
141;142.0;7.0;;20000.0;10.0;4.0;2.0;15.38;3.98;12.55;0.06;0.12;0.05;68.441;2967.886;0.4;55.279064;200000.0
142;143.0;7.0;;21000.0;10.0;4.0;2.0;16.88;4.64;13.92;0.06;0.12;0.05;75.116;3460.048;0.4;55.279064;210000.0
143;144.0;7.0;;22000.0;10.0;4.0;2.0;18.06;5.36;15.36;0.06;0.12;0.05;80.367;3996.952;0.4;55.279064;220000.0
144;145.0;7.0;;23000.0;10.0;4.0;2.0;19.08;5.84;16.0;0.06;0.11;0.05;84.906;4354.888;0.4;48.5152;230000.0
145;146.0;7.0;;24000.0;10.0;4.0;2.0;19.97;7.06;18.53;0.06;0.11;0.05;88.8665;5264.642;0.4;48.5152;240000.0
146;148.0;8.0;MR;3000.0;10.0;4.5;2.0;0.32;0.01;0.2;0.04;0.11;0.05;1.424;7.457;0.45;72.772804;30000.0
147;149.0;8.0;MR;4000.0;10.0;4.5;2.0;0.57;0.02;0.36;0.04;0.11;0.05;2.5365;14.914;0.45;72.772804;40000.0
148;150.0;8.0;MR;5000.0;10.0;4.5;2.0;0.9;0.04;0.56;0.04;0.11;0.05;4.005;29.828;0.45;72.772804;50000.0
149;151.0;8.0;MR;6000.0;10.0;4.5;2.0;1.29;0.08;0.79;0.04;0.11;0.05;5.7405;59.656;0.45;72.772804;60000.0
150;152.0;8.0;MR;7000.0;10.0;4.5;2.0;1.76;0.12;1.06;0.04;0.11;0.05;7.832;89.484;0.45;72.772804;70000.0
151;153.0;8.0;MR;8000.0;10.0;4.5;2.0;2.31;0.17;1.37;0.04;0.11;0.05;10.2795;126.769;0.45;72.772804;80000.0
152;154.0;8.0;MR;9000.0;10.0;4.5;2.0;2.95;0.26;1.86;0.05;0.11;0.05;13.1275;193.882;0.45;58.218243;90000.0
153;155.0;8.0;MR;10000.0;10.0;4.5;2.0;3.67;0.39;2.46;0.05;0.12;0.05;16.3315;290.823;0.45;66.33488;100000.0
154;156.0;8.0;MR;11000.0;10.0;4.5;2.0;4.49;0.55;3.17;0.05;0.12;0.05;19.9805;410.135;0.45;66.33488;110000.0
155;157.0;8.0;MR;12000.0;10.0;4.5;2.0;5.4;0.77;4.02;0.06;0.12;0.05;24.03;574.189;0.45;55.279064;120000.0
156;158.0;8.0;MR;13000.0;10.0;4.5;2.0;6.41;1.03;5.02;0.06;0.12;0.05;28.5245;768.071;0.45;55.279064;130000.0
157;159.0;8.0;MR;13999.0;10.0;4.5;2.0;7.52;1.38;6.2;0.06;0.12;0.05;33.464;1029.066;0.45;55.279064;139990.0
158;169.0;9.0;SF;2000.0;10.0;4.7;2.0;0.18;0.01;0.13;0.06;0.14;0.05;0.801;7.457;0.47;69.659584;20000.0
159;160.0;8.0;MR;15000.0;10.0;4.5;2.0;8.74;1.8;7.58;0.07;0.12;0.05;38.893;1342.26;0.45;47.382053;150000.0
160;161.0;8.0;MR;16000.0;10.0;4.5;2.0;10.08;2.34;9.2;0.07;0.12;0.05;44.856;1744.938;0.45;47.382053;160000.0
161;162.0;8.0;MR;17000.0;10.0;4.5;2.0;11.47;2.75;10.21;0.07;0.12;0.05;51.0415;2050.675;0.45;47.382053;170000.0
162;163.0;8.0;MR;18000.0;10.0;4.5;2.0;13.0;3.24;11.36;0.07;0.13;0.05;57.85;2416.068;0.45;53.42654;180000.0
163;164.0;8.0;MR;19000.0;10.0;4.5;2.0;14.81;3.93;13.03;0.07;0.13;0.05;65.9045;2930.601;0.45;53.42654;190000.0
164;165.0;8.0;MR;20000.0;10.0;4.5;2.0;16.57;5.37;16.92;0.08;0.13;0.05;73.7365;4004.409;0.45;46.748222;200000.0
165;166.0;8.0;MR;21000.0;10.0;4.5;2.0;18.17;5.54;16.63;0.07;0.13;0.05;80.8565;4131.178;0.45;53.42654;210000.0
166;167.0;8.0;MR;22000.0;10.0;4.5;2.0;19.58;5.99;17.16;0.07;0.13;0.05;87.131;4466.743;0.45;53.42654;220000.0
167;168.0;8.0;MR;23000.0;10.0;4.5;2.0;20.87;5.98;16.38;0.06;0.12;0.05;92.8715;4459.286;0.45;55.279064;230000.0
168;170.0;9.0;SF;3000.0;10.0;4.7;2.0;0.41;0.01;0.29;0.06;0.14;0.05;1.8245;7.457;0.47;69.659584;30000.0
169;171.0;9.0;SF;4000.0;10.0;4.7;2.0;0.72;0.03;0.51;0.06;0.14;0.05;3.204;22.371;0.47;69.659584;40000.0
170;172.0;9.0;SF;5000.0;10.0;4.7;2.0;1.13;0.06;0.8;0.06;0.14;0.05;5.0285;44.742;0.47;69.659584;50000.0
171;173.0;9.0;SF;6000.0;10.0;4.7;2.0;1.62;0.11;1.13;0.06;0.14;0.05;7.209;82.027;0.47;69.659584;60000.0
172;174.0;9.0;SF;7000.0;10.0;4.7;2.0;2.21;0.18;1.6;0.06;0.14;0.05;9.8345;134.226;0.47;69.659584;70000.0
173;175.0;9.0;SF;8000.0;10.0;4.7;2.0;2.9;0.28;2.18;0.07;0.14;0.05;12.905;208.796;0.47;59.708214;80000.0
174;176.0;9.0;SF;9000.0;10.0;4.7;2.0;3.71;0.41;2.87;0.07;0.14;0.05;16.5095;305.737;0.47;59.708214;90000.0
175;177.0;9.0;SF;10000.0;10.0;4.7;2.0;4.64;0.59;3.71;0.07;0.15;0.05;20.648;439.963;0.47;66.21844;100000.0
176;178.0;9.0;SF;11000.0;10.0;4.7;2.0;5.69;0.82;4.71;0.08;0.15;0.05;25.3205;611.474;0.47;57.94113;110000.0
177;179.0;9.0;SF;12000.0;10.0;4.7;2.0;6.83;1.1;5.79;0.08;0.15;0.05;30.3935;820.27;0.47;57.94113;120000.0
178;180.0;9.0;SF;13000.0;10.0;4.7;2.0;8.03;1.37;6.63;0.08;0.15;0.05;35.7335;1021.609;0.47;57.94113;130000.0
179;181.0;9.0;SF;13999.0;10.0;4.7;2.0;9.37;1.68;7.55;0.08;0.15;0.05;41.6965;1252.776;0.47;57.94113;139990.0
180;188.0;10.0;;1000.0;10.0;5.0;2.0;0.04;0.01;0.02;0.04;0.11;0.05;0.178;7.457;0.5;72.772804;10000.0
181;182.0;9.0;SF;15000.0;10.0;4.7;2.0;10.86;2.03;8.54;0.07;0.15;0.05;48.327;1513.771;0.47;66.21844;150000.0
182;183.0;9.0;SF;16000.0;10.0;4.7;2.0;12.46;2.41;9.51;0.07;0.15;0.05;55.447;1797.137;0.47;66.21844;160000.0
