Brand;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Weight_g;Max_burst_current_A;Volume_mm3;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Pvol_Wh_m3
TATTU;;11.1;1300;75;150;122;97.5;59616;118.2786885;195;17741.80328;242049.1143
TATTU;;11.1;1300;45;90;119;58.5;59616;121.2605042;117;10913.44538;242049.1143
TATTU;;11.1;1550;75;150;136;116.25;63648;126.5073529;232.5;18976.10294;270314.8567
TATTU;;11.1;1550;45;90;128;69.75;63648;134.4140625;139.5;12097.26563;270314.8567
TATTU;;11.1;1800;45;90;156;81;64032;128.0769231;162;11526.92308;312031.4843
TATTU;;11.1;1800;75;150;159;135;64032;125.6603774;270;18849.0566;312031.4843
TATTU;;11.1;2300;45;90;179;103.5;76230;142.6256983;207;12836.31285;334907.5167
TATTU;;11.1;2700;25;50;194;67.5;94500;154.4845361;135;7724.226804;317142.8571
TATTU;;11.1;1050;45;90;85;47.25;44676;137.1176471;94.5;12340.58824;260878.3239
TATTU;;14.8;10000;25;50;940;250;435584;157.4468085;500;7872.340426;339773.7291
TATTU;;14.8;1050;75;150;125;78.75;61320;124.32;157.5;18648;253424.6575
TATTU;;14.8;1050;45;90;120;47.25;61320;129.5;94.5;11655;253424.6575
TATTU;;14.8;1300;95;190;172.6;123.5;65408;111.4716107;247;21179.60603;294153.6204
TATTU;;14.8;1300;75;150;155;97.5;65408;124.1290323;195;18619.35484;294153.6204
TATTU;;14.8;1500;45;90;178;67.5;84388;124.7191011;135;11224.7191;263070.5788
TATTU;;14.8;1550;100;200;187;155;82076;122.6737968;310;24534.75936;279497.0515
TATTU;;14.8;1550;95;190;178;147.25;82076;128.8764045;294.5;24486.51685;279497.0515
TATTU;;14.8;16000;15;30;1305;240;586080;181.4559387;480;5443.678161;404040.404
TATTU;;14.8;1800;45;90;202;81;86304;131.8811881;162;11869.30693;308676.307
TATTU;;14.8;1800;75;150;202;135;86304;131.8811881;270;19782.17822;308676.307
TATTU;;14.8;2300;45;90;224;103.5;100638.8951;151.9642857;207;13676.78571;338239.0076
TATTU;;14.8;3700;45;90;240;166.5;150552;228.1666667;333;20535;363728.1471
TATTU;;14.8;8000;15;30;627;120;568425;188.8357257;240;5665.07177;208294.8498
TATTU;;14.8;1300;45;90;154;58.5;65408;124.9350649;117;11244.15584;294153.6204
TATTU;;14.8;22000;25;50;1711;550;763035;190.2980713;1100;9514.903565;426716.992
TATTU;;14.8;5200;35;70;436.5;182;122536;176.3115693;364;12341.80985;628060.3251
TATTU;;22.2;12000;15;30;1670;180;785540;159.5209581;360;4785.628743;339129.7706
TATTU;;22.2;28000;25;50;3413;700;1560000;182.1271609;1400;9106.358043;398461.5385
TATTU;;22.2;22000;25;50;2650;550;1135680;184.3018868;1100;9215.09434;430050.7185
TATTU;;22.2;14000;25;50;1882;350;871420;165.1434644;700;8257.17322;356659.2458
TATTU;;22.2;10000;25;50;1400;250;571764;158.5714286;500;7928.571429;388272.0843
TATTU;;22.2;16000;15;30;1932;240;859940;183.8509317;480;5515.52795;413052.0734
TATTU;;22.2;22000;25;50;2490;550;1135680;196.1445783;1100;9807.228916;430050.7185
TATTU;;22.2;30000;25;50;3673;750;1692600;181.3231691;1500;9066.158454;393477.4903
GENS ACE;;22.2;3300;60;120;506;198;253176;144.7826087;396;17373.91304;289363.9208
GENS ACE;;22.2;4000;60;120;636;240;298461.9463;139.6226415;480;16754.71698;297525.3666
TATTU;;22.2;4500;25;50;650;112.5;303600;153.6923077;225;7684.615385;329051.3834
GENS ACE;;22.2;5000;60;120;755;300;357239.0874;147.0198675;600;17642.38411;310716.2791
GENS ACE;;22.2;5000;45;90;724;225;357239.0874;153.3149171;450;13798.34254;310716.2791
TATTU;;22.2;5500;45;90;764;247.5;427500;159.8167539;495;14383.50785;285614.0351
GENS ACE;;22.2;5500;45;90;771;247.5;386231.6952;158.3657588;495;14252.91829;316131.4867
GENS ACE;;22.2;5500;60;120;828;330;317814;147.4637681;660;17695.65217;384186.9773
GENS ACE;;22.2;6200;60;120;876;372;403425;157.1232877;744;18854.79452;341178.6577
TATTU;;22.2;7000;25;50;870;175;392044.2046;178.6206897;350;8931.034483;396383.8725
TATTU;;22.2;8000;15;30;942;120;446453;188.5350318;240;5656.050955;397802.2323
TATTU;;22.2;8000;25;50;1160;200;568425;153.1034483;400;7655.172414;312442.2747
TATTU;;22.2;9000;25;50;1173;225;561808;170.3324808;450;8516.624041;355637.5132
TATTU;;22.2;10000;25;50;1517;250;571764;146.3414634;500;7317.073171;388272.0843
GENS ACE;;22.2;6000;35;70;885;210;384975;150.5084746;420;10535.59322;345996.4933
TATTU;;7.4;5200;35;70;230;182;106470;167.3043478;364;11711.30435;361416.3614
KOKAM;SLPB8043128H;3.7;3200;20;40;84;;42931.2;140.952381;128;5638.095238;275790.1014
KOKAM;SLPB526495;3.7;3300;2;3;67;;33262.65;182.238806;9.9;546.7164179;367078.3897
KOKAM;SLPB8643128H5;3.7;3600;30;50;101;;48813.6;131.8811881;180;6594.059406;272874.7726
KOKAM;SLPB11543140H5;3.7;5000;30;50;132;;71691.75;140.1515152;250;7007.575758;258049.2177
KOKAM;SLPB050106100;3.7;5000;2;5;120;;64392.6;154.1666667;25;770.8333333;287300.0935
KOKAM;SLPB50106100;3.7;5000;5;8;140;;64392.6;132.1428571;40;1057.142857;287300.0935
KOKAM;SLPB776495;3.7;5300;2;3;102;;48046.05;192.254902;15.9;576.7647059;408150.0977
KOKAM;SLPB75106100;3.7;7500;5;8;165;;86220.6;168.1818182;60;1345.454545;321848.8389
KOKAM;SLPB68106100;3.7;8000;2;3;160;;79126.5;185;24;555;374084.5355
KOKAM;SLPB7570180;3.7;9600;2;3;215;;114045.6;165.2093023;28.8;495.627907;311454.3656
KOKAM;SLPB98106100;3.7;10000;2;3;210;;109140;176.1904762;30;528.5714286;339014.1103
KOKAM;SLPB55205130H;3.7;11000;8;10;280;;158810.4;145.3571429;110;1453.571429;256280.4451
KOKAM;SLPB7570270;3.7;15000;2;3;317;;171740.8;175.0788644;45;525.2365931;323161.4153
KOKAM;SLPB75106205;3.7;16000;5;8;340;;174431.4;174.1176471;128;1392.941176;339388.4358
KOKAM;SLPB78205130H;3.7;16000;8;15;406;;221200.2;145.8128079;240;2187.192118;267630.8611
KOKAM;SLPB60216216;3.7;25000;5;8;600;;323202.6;154.1666667;200;1233.333333;286198.1927
KOKAM;SLPB98188216P;3.7;30000;20;30;870;;431244;127.5862069;900;3827.586207;257394.8855
KOKAM;SLPB78216216H;3.7;31000;8;15;720;;400155.6;159.3055556;465;2389.583333;286638.4976
KOKAM;SLPB100216216H;3.7;40000;8;15;990;;513020;149.4949495;600;2242.424242;288487.7783
KOKAM;SLPB120216216HR2;3.7;46000;12;15;1270;;641275;134.015748;690;2010.23622;265408.756
KOKAM;SLPB120216216;3.7;53000;5;8;1160;;615624;169.0517241;424;1352.413793;318538.5885
KOKAM;SLPB110255255H;3.7;63000;8;15;1520;;781220;153.3552632;945;2300.328947;298379.4578
KOKAM;SLPB130255255N_X60;3.7;60000;6;10;1760;;895462.4;126.1363636;600;1261.363636;247916.6071
KOKAM;SLPB60460330H;3.7;70000;5;6;1740;;861121.8;148.8505747;420;893.1034483;300770.4601
KOKAM;SLPB120255255;3.7;75000;3;5;1580;;823832;175.6329114;375;878.164557;336840.5209
KOKAM;SLPB125255255H;3.7;75000;8;15;1780;;923260;155.8988764;1125;2338.483146;300565.3879
KOKAM;SLPB130255255P;3.7;75000;4;8;1810;;958770;153.3149171;600;1226.519337;289433.3365
KOKAM;SLPB70460330H;3.7;80000;5;5;1920;;951766.2;154.1666667;400;770.8333333;311000.7479
KOKAM;SLPB125255255;3.7;87000;2;3;1780;;923260;180.8426966;261;542.5280899;348655.8499
KOKAM;SLPB70460330;3.7;100000;2;3;2070;;1057518;178.7439614;300;536.2318841;349875.8414
KOKAM;SLPB80460330H;3.7;100000;5;6;2380;;1178377.2;155.4621849;600;932.7731092;313991.1397
KOKAM;SLPB120460330;3.7;150000;2;3;3210;;1586277;172.8971963;450;518.6915888;349875.8414
KOKAM;SLPB140460330;3.7;200000;2;3;4180;;2099928.6;177.0334928;600;531.1004785;352392.9337
KOKAM;SLPB160460330H;3.7;200000;2;3;4580;;2235895.2;161.5720524;600;484.7161572;330963.6337
KOKAM;SLPB160460330;3.7;240000;2;3;4780;;2386969.2;185.7740586;720;557.3221757;372019.8819
ProLiteX;TP500-2SPX25J;7.4;500;25;50;30;25;14310;123.3333333;25;6166.666667;258560.4472
ProLiteX;TP500-3SPX25J;11.1;500;25;50;44;25;20670;126.1363636;25;6306.818182;268505.0798
ProLiteX;TP750-2SPX25J;7.4;750;25;50;39;37.5;20460;142.3076923;37.5;7115.384615;271260.9971
ProLiteX;TP750-3SPX25J;11.1;750;25;50;57;37.5;30690;146.0526316;37.5;7302.631579;271260.9971
ProLiteX;TP910-2SPX25J;7.4;910;25;50;47;22.7;23075;143.2765957;45.5;7163.829787;291830.9859
ProLiteX;TP910-3SPX25J;11.1;910;25;50;69;45.5;33725;146.3913043;45.5;7319.565217;299510.7487
ProLiteX;TP1350-2SPX25J;7.4;1350;25;50;61;67.5;30056;163.7704918;67.5;8188.52459;332379.5582
ProLiteX;TP1350-3SPX25J;11.1;1350;25;50;94;67.5;46240;159.4148936;67.5;7970.744681;324070.0692
ProLiteX;TP1350-2SPX25;7.4;1350;25;50;64;67.5;30056;156.09375;67.5;7804.6875;332379.5582
ProLiteX;TP1350-3SPX25;11.1;1350;25;50;95;67.5;46240;157.7368421;67.5;7886.842105;324070.0692
ProLiteX;TP1350-4SPX25;14.8;1350;25;50;126;67.5;60112;158.5714286;67.5;7928.571429;332379.5582
ProLiteX;TP1350-5SPX25;18.5;1350;25;50;157;67.5;73984;159.0764331;67.5;7953.821656;337572.9888
ProLiteX;TP2200-2SPX25;7.4;2200;25;50;107;110;49980;152.1495327;110;7607.476636;325730.2921
ProLiteX;TP2200-3SPX25;11.1;2200;25;50;151;110;74970;161.7218543;110;8086.092715;325730.2921
ProLiteX;TP2200-4SPX25;14.8;2200;25;50;197;110;96390;165.2791878;110;8263.959391;337794.377
ProLiteX;TP2800-2SPX25;7.4;2800;25;50;123;140;58956;168.4552846;140;8422.764228;351448.5379
ProLiteX;TP2800-3SPX25;11.1;2800;25;50;181;140;83232;171.7127072;140;8585.635359;373414.0715
ProLiteX;TP2800-3SPX25EJ;11.1;2800;25;50;181;140;83232;171.7127072;140;8585.635359;373414.0715
ProLiteX;TP2800-3SPX25XJ;11.1;2800;25;50;181;140;83232;171.7127072;140;8585.635359;373414.0715
ProLiteX;TP2800-4SPX25;14.8;2800;25;50;234;140;110976;177.0940171;140;8854.700855;373414.0715
ProLiteX;TP2800-5SPX25;18.5;2800;25;50;290;140;138720;178.6206897;140;8931.034483;373414.0715
ProLiteX;TP2800-6SPX25;22.2;2800;25;50;351;140;166464;177.0940171;140;8854.700855;373414.0715
ProLiteX;TP3400-2SPX25;7.4;3400;25;50;166;170;75465;151.5662651;170;7578.313253;333399.5892
ProLiteX;TP3400-3SPX25;11.1;3400;25;50;252;170;110295;149.7619048;170;7488.095238;342173.2626
ProLiteX;TP3400-4SPX25;14.8;3400;25;50;326;170;150930;154.3558282;170;7717.791411;333399.5892
ProLiteX;TP3400-5SPX25;18.5;3400;25;50;407;170;185760;154.5454545;170;7727.272727;338608.9578
ProLiteX;TP3400-6SPX25;22.2;3400;25;50;478;170;220590;157.9079498;170;7895.39749;342173.2626
ProLiteX;TP3400-6SPX25L;22.2;3400;25;50;488;170;221407;154.6721311;170;7733.606557;340910.6306
ProLiteX;TP3400-7SPX25;25.9;3400;25;50;546;170;255420;161.2820513;170;8064.102564;344765.4843
ProLiteX;TP3400-8SPX25;29.6;3400;25;50;611;170;935250;164.7135843;170;8235.679214;107607.5916
ProLiteX;TP3400-8SPX25L;29.6;3400;25;50;621;170;302978;162.0611916;170;8103.059581;332169.3324
ProLiteX;TP4000-2SPX25;7.4;4000;25;50;156;200;79560;189.7435897;200;9487.179487;372046.2544
ProLiteX;TP4000-3SPX25;11.1;4000;25;50;269;200;111384;165.0557621;200;8252.788104;398620.9869
ProLiteX;TP4000-4SPX25;14.8;4000;25;50;356;200;148512;166.2921348;200;8314.606742;398620.9869
ProLiteX;TP4000-5SPX25;18.5;4000;25;50;435;200;185640;170.1149425;200;8505.747126;398620.9869
