TYPE;Model;Kv_rpm_v;Pole (number);Io (A);r_omn;weight_g;Imax (A);No s;Voltage;Inom_max (A);Eta_max (%);Kt_Nm_A;Tnom_Nm;Rend nom;Icc;I opt;Eta opt;Cf_Nm;Tmax_Nm;Estim -->;M*;R*;Cf*
AXI;AXI 2814/20 GOLD LINE;840;14;0.7;0.145;106;25;4;14.8;17;83;0.01137;0.185;80;102.07;8.45;84.12;0.00796;0.284205256;;95.1085;0.0906;0.009477066
AXI;AXI 2217/12 GOLD LINE;1380;14;0.9;0.061;69.5;30;3;11.1;28;85;0.00692;0.188;82;181.97;12.8;86.43;0.00623;0.207593404;;72.6589;0.0526;0.007240086
AXI;AXI 2820/8 GOLD LINE;1500;14;3.3;0.026;151;55;3;11.1;37;82;0.00637;0.215;83;426.92;37.53;83.19;0.021;0.350140875;;113.7327;0.0211;0.011332879
AXI;AXI 2820/10 GOLD LINE;1200;14;2.3;0.039;151;42;4;14.8;30;83;0.00796;0.22;85;379.49;29.54;85.04;0.0183;0.33422538;;109.2869;0.0352;0.010889879
AXI;AXI 2820/12 GOLD LINE;990;14;1.7;0.059;151;37;4;14.8;25;83;0.00965;0.225;84;250.85;20.65;84.21;0.0164;0.356892903;;115.61;0.0471;0.011519943
AXI;AXI 2826/6 GOLD LINE;1500;14;3.5;0.025;181;65;3;11.1;45;82;0.00637;0.264;83;444;39.42;83.03;0.0223;0.413802852;;131.2417;0.0166;0.013077554
AXI;AXI 2826/8 GOLD LINE;1130;14;2.9;0.03;181;55;3;11.1;37;83;0.00845;0.288;83;370;32.76;83.08;0.0245;0.464788772;;144.9856;0.0248;0.014447071
AXI;AXI 2826/10 GOLD LINE;920;14;1.7;0.042;181;42;5;18.5;30;84;0.01038;0.294;88;440.48;27.36;87.96;0.0176;0.435946148;;137.2388;0.041;0.013675138
AXI;AXI 2826/12 GOLD LINE;760;14;1.3;0.062;181;37;5;18.5;25;84;0.01256;0.298;87;298.39;19.7;87.23;0.0163;0.464899965;;145.0154;0.0548;0.014450033
AXI;AXI 2820/14 GOLD LINE;860;14;1.7;0.078;151;36;4;14.8;30;86;0.0111;0.314;79;189.74;17.96;81.97;0.0189;0.399737997;;127.4087;0.0531;0.01269562
AXI;AXI 4120/14 GOLD LINE;660;14;2;0.041;320;55;5;18.5;40;85;0.01447;0.55;87;451.22;30.04;87.13;0.0289;0.795774715;;229.878;0.0337;0.022906157
AXI;AXI 4120/18 GOLD LINE;515;14;1.5;0.07;320;55;7;25.9;40;86;0.01854;0.714;86;370;23.56;87.67;0.0278;1.019827791;;284.3434;0.0388;0.028333354
AXI;AXI 4120/20 GOLD LINE;465;14;1.5;0.082;320;52;6;22.2;37;87;0.02054;0.729;83;270.73;20.15;85.67;0.0308;1.067878328;;295.7888;0.0446;0.029473825
AXI;AXI 4130/16 GOLD LINE;385;14;1.3;0.063;409;60;8;29.6;40;88;0.0248;0.96;89;469.84;24.71;89.76;0.0322;1.488202065;;393.1248;0.0405;0.039172851
AXI;AXI 4130/20 GOLD LINE;305;14;1.2;0.099;409;55;8;29.6;40;88;0.03131;1.215;84;298.99;18.94;87.73;0.0376;1.722004302;;445.5019;0.0524;0.04439196
AXI;AXI 5320/28 GOLD LINE;249;14;1.4;0.057;495;65;10;37;36;92;0.03835;1.327;91;649.12;30.15;90.93;0.0537;2.492788265;;611.717;0.0463;0.060954436
AXI;AXI 5320/18 GOLD LINE;370;14;1.4;0.023;495;78;6;22.2;55;93;0.02581;1.383;92;965.22;36.76;92.53;0.0361;2.013094956;;509.3186;0.0285;0.05075097
AXI;AXI 5320/24 GOLD LINE;206;14;1.1;0.084;495;50;10;37;32;93;0.04636;1.432;90;440.48;22.01;90.26;0.051;2.317790433;;574.7185;0.0751;0.057267731
AXI;AXI 5330/24 GOLD LINE;197;14;1.5;0.057;652;65;10;37;38;91;0.04847;1.769;90;649.12;31.2;90.62;0.0727;3.150783137;;747.7395;0.053;0.074508382
AXI;AXI 5325/16 GOLD LINE;350;14;2.1;0.03;575;85;6;22.2;70;90;0.02728;1.853;89.05;853.85;42.34;90.33;0.06;2.319114885;;575;0.03;0.06
AXI;AXI 5325/16 GOLD LINE;350;14;2.1;0.026;575;85;6;22.2;70;90;0.02728;1.853;89;853.85;42.34;90.33;0.0573;2.319114885;;575;0.026;0.05729578
AXI;AXI 5325/18 GOLD LINE;308;14;1.7;0.032;575;80;8;29.6;65;91;0.031;1.963;91;925;39.65;91.61;0.0527;2.480336775;;609.097;0.0305;0.06069337
AXI;AXI 5330/18 GOLD LINE;259;14;2;0.032;652;80;10;37;60;90;0.03687;2.138;92;1156.25;48.09;91.85;0.0737;2.949589679;;706.6222;0.0337;0.070411252
AXI;AXI 5325/20 GOLD LINE;280;14;2;0.037;575;78;8;29.6;65;92;0.0341;2.149;89;800;40;90.25;0.0682;2.660161192;;646.7572;0.0334;0.064446017
