LINE;COMP;TYPE;RPM;DIAMETER(IN);PITCH(IN);BLADE(nb);THRUST(LBF);POWER(HP);TORQUE(IN.LBF);Cp;Ct;AREA(m^2);THRUST(N);POWER(W);ANGLE;EFF;N.D
1220;64;NULL;9000;12;10;2;6.63;2.34;16.38;0.16;0.12;0.07;29.5035;1744.938;0.83;20.72964897;108000
1221;64;NULL;10000;12;10;2;8.36;3.8;23.97;0.19;0.13;0.07;37.202;2833.66;0.83;19.68346213;120000
1222;64;NULL;11000;12;10;2;10.32;5.87;33.65;0.22;0.13;0.07;45.924;4377.259;0.83;16.99935366;132000
1228;65;E;1000;12;10;2;0.07;0.01;0.07;0.05;0.11;0.07;0.3115;7.457;0.83;51.59457336;12000
1229;65;E;2000;12;10;2;0.28;0.01;0.28;0.05;0.11;0.07;1.246;7.457;0.83;51.59457336;24000
1230;65;E;3000;12;10;2;0.63;0.03;0.62;0.05;0.11;0.07;2.8035;22.371;0.83;51.59457336;36000
1189;62;NULL;12000;12.5;6;2;12.97;2.88;15.15;0.07;0.12;0.08;57.7165;2147.616;0.48;47.38205478;150000
1190;62;NULL;13000;12.5;6;2;15.3;3.41;16.56;0.06;0.12;0.08;68.085;2542.837;0.48;55.27906392;162500
1191;62;NULL;13999;12.5;6;2;17.71;3.98;17.91;0.06;0.12;0.08;78.8095;2967.886;0.48;55.27906392;174987.5
1192;62;NULL;15000;12.5;6;2;20.24;4.9;20.6;0.06;0.12;0.08;90.068;3653.93;0.48;55.27906392;187500
1193;62;NULL;16000;12.5;6;2;23.11;6.8;26.79;0.07;0.12;0.08;102.8395;5070.76;0.48;47.38205478;200000
1194;62;NULL;17000;12.5;6;2;25.8;7.23;26.8;0.06;0.11;0.08;114.81;5391.411;0.48;48.51520143;212500
1231;65;E;4000;12;10;2;1.12;0.07;1.1;0.05;0.11;0.07;4.984;52.199;0.83;51.59457336;48000
1232;65;E;5000;12;10;2;1.74;0.13;1.63;0.05;0.11;0.07;7.743;96.941;0.83;51.59457336;60000
1233;65;E;6000;12;10;2;2.51;0.21;2.21;0.05;0.11;0.07;11.1695;156.597;0.83;51.59457336;72000
1234;65;E;7000;12;10;2;3.4;0.32;2.89;0.05;0.11;0.07;15.13;238.624;0.83;51.59457336;84000
1235;65;E;8000;12;10;2;4.57;0.77;6.08;0.08;0.11;0.07;20.3365;574.189;0.83;32.24660835;96000
1236;65;E;9000;12;10;2;5.93;1.49;10.45;0.1;0.11;0.07;26.3885;1111.093;0.83;25.79728668;108000
1237;65;E;10000;12;10;2;7.49;2.57;16.22;0.13;0.11;0.07;33.3305;1916.449;0.83;19.84406668;120000
1238;65;E;11000;12;10;2;9.25;4.14;23.7;0.16;0.12;0.07;41.1625;3087.198;0.83;18.37117307;132000
1245;66;W;1000;12;10;2;0.09;0.01;0.09;0.07;0.13;0.07;0.4005;7.457;0.83;53.42654007;12000
1246;66;W;2000;12;10;2;0.35;0.01;0.37;0.07;0.13;0.07;1.5575;7.457;0.83;53.42654007;24000
1247;66;W;3000;12;10;2;0.79;0.04;0.82;0.07;0.13;0.07;3.5155;29.828;0.83;53.42654007;36000
1206;63;NULL;12000;12.5;9;2;13.68;5.66;29.72;0.13;0.12;0.08;60.876;4220.662;0.72;25.51341411;150000
1207;63;NULL;13000;12.5;9;2;15.76;5.96;28.88;0.11;0.12;0.08;70.132;4444.372;0.72;30.15221668;162500
1208;63;NULL;13999;12.5;9;2;17.99;6.25;28.14;0.09;0.12;0.08;80.0555;4660.625;0.72;36.85270928;174987.5
1209;63;NULL;15000;12.5;9;2;20.35;6.56;27.57;0.08;0.12;0.08;90.5575;4891.792;0.72;41.45929794;187500
1210;63;NULL;16000;12.5;9;2;23.36;9.85;38.8;0.1;0.12;0.08;103.952;7345.145;0.72;33.16743835;200000
1211;63;NULL;17000;12.5;9;2;26.15;9.8;36.34;0.08;0.12;0.08;116.3675;7307.86;0.72;41.45929794;212500
1248;66;W;4000;12;10;2;1.4;0.09;1.35;0.07;0.13;0.07;6.23;67.113;0.83;53.42654007;48000
1249;66;W;5000;12;10;2;2.2;0.19;2.43;0.08;0.13;0.07;9.79;141.683;0.83;46.74822256;60000
1250;66;W;6000;12;10;2;3.26;0.5;5.28;0.12;0.14;0.07;14.507;372.85;0.83;34.82979104;72000
1251;66;W;7000;12;10;2;4.55;1.04;9.35;0.15;0.14;0.07;20.2475;775.528;0.83;27.86383283;84000
1252;66;W;8000;12;10;2;6.07;1.89;14.88;0.18;0.14;0.07;27.0115;1409.373;0.83;23.21986069;96000
1253;66;W;9000;12;10;2;7.85;3.16;22.14;0.22;0.15;0.07;34.9325;2356.412;0.83;21.06950193;108000
1254;66;W;10000;12;10;2;9.59;4.07;25.66;0.2;0.15;0.07;42.6755;3034.999;0.83;23.17645212;120000
1255;66;W;11000;12;10;2;11.32;4.46;25.55;0.17;0.14;0.07;50.374;3325.822;0.83;24.58573485;132000
1261;67;NULL;1000;12;11;2;0.08;0.01;0.08;0.06;0.11;0.07;0.356;7.457;0.92;48.51520143;12000
1262;67;NULL;2000;12;11;2;0.3;0.01;0.33;0.06;0.11;0.07;1.335;7.457;0.92;48.51520143;24000
1263;67;NULL;3000;12;11;2;0.68;0.04;0.74;0.06;0.11;0.07;3.026;29.828;0.92;48.51520143;36000
1223;64;NULL;12000;12;10;2;12.08;6.88;36.13;0.2;0.13;0.07;53.756;5130.416;0.83;18.69928902;144000
1224;64;NULL;13000;12;10;2;13.86;7.44;36.07;0.17;0.12;0.07;61.677;5548.008;0.83;19.51025785;156000
1225;64;NULL;13999;12;10;2;15.73;7.78;35.04;0.14;0.12;0.07;69.9985;5801.546;0.83;23.69102739;167988
1226;64;NULL;15000;12;10;2;17.69;8.59;36.08;0.13;0.12;0.07;78.7205;6405.563;0.83;25.51341411;180000
1227;64;NULL;16000;12;10;2;19.78;8.22;32.39;0.1;0.12;0.07;88.021;6129.654;0.83;33.16743835;192000
5775;347;E;18000;5;4;3;1.68;0.24;0.83;0.16;0.26;0.01;7.476;178.968;0.8;58.59020823;90000
5776;347;E;19000;5;4;3;1.88;0.28;0.92;0.16;0.26;0.01;8.366;208.796;0.8;58.59020823;95000
5777;347;E;20000;5;4;3;2.08;0.32;1.01;0.16;0.26;0.01;9.256;238.624;0.8;58.59020823;100000
5778;347;E;21000;5;4;3;2.3;0.37;1.11;0.16;0.26;0.01;10.235;275.909;0.8;58.59020823;105000
5276;333;E;31000;4;4;3;2.17;0.45;0.92;0.18;0.28;0.01;9.6565;335.565;1;58.20355935;124000
1264;67;NULL;4000;12;11;2;1.21;0.08;1.24;0.06;0.11;0.07;5.3845;59.656;0.92;48.51520143;48000
1265;67;NULL;5000;12;11;2;1.89;0.14;1.79;0.06;0.11;0.07;8.4105;104.398;0.92;48.51520143;60000
1266;67;NULL;6000;12;11;2;2.75;0.31;3.29;0.07;0.12;0.07;12.2375;231.167;0.92;47.38205478;72000
1267;67;NULL;7000;12;11;2;3.87;0.78;7;0.11;0.12;0.07;17.2215;581.646;0.92;30.15221668;84000
1268;67;NULL;8000;12;11;2;5.19;1.55;12.18;0.15;0.12;0.07;23.0955;1155.835;0.92;22.11162557;96000
1269;67;NULL;9000;12;11;2;6.74;2.73;19.09;0.19;0.13;0.07;29.993;2035.761;0.92;19.68346213;108000
1270;67;NULL;10000;12;11;2;8.53;4.45;28.08;0.22;0.13;0.07;37.9585;3318.365;0.92;16.99935366;120000
1271;67;NULL;11000;12;11;2;10.57;6.9;39.53;0.26;0.13;0.07;47.0365;5145.33;0.92;14.38406848;132000
1277;68;NULL;1000;12;11.5;2;0.08;0.01;0.08;0.07;0.12;0.07;0.356;7.457;0.96;47.38205478;12000
1278;68;NULL;2000;12;11.5;2;0.3;0.01;0.33;0.07;0.12;0.07;1.335;7.457;0.96;47.38205478;24000
1279;68;NULL;3000;12;11.5;2;0.68;0.04;0.75;0.07;0.12;0.07;3.026;29.828;0.96;47.38205478;36000
1280;68;NULL;4000;12;11.5;2;1.21;0.08;1.26;0.06;0.11;0.07;5.3845;59.656;0.96;48.51520143;48000
1281;68;NULL;5000;12;11.5;2;1.89;0.14;1.82;0.06;0.11;0.07;8.4105;104.398;0.96;48.51520143;60000
1282;68;NULL;6000;12;11.5;2;2.76;0.32;3.38;0.07;0.12;0.07;12.282;238.624;0.96;47.38205478;72000
1283;68;NULL;7000;12;11.5;2;3.88;0.81;7.27;0.12;0.12;0.07;17.266;604.017;0.96;27.63953196;84000
1284;68;NULL;8000;12;11.5;2;5.22;1.62;12.73;0.16;0.12;0.07;23.229;1208.034;0.96;20.72964897;96000
1285;68;NULL;9000;12;11.5;2;6.79;2.85;19.98;0.2;0.13;0.07;30.2155;2125.245;0.96;18.69928902;108000
1286;68;NULL;11000;12;11.5;2;10.66;7.23;41.44;0.27;0.13;0.07;47.437;5391.411;0.96;13.8513252;132000
1291;69;N;1000;12;11;2;0.07;0.01;0.08;0.06;0.11;0.07;0.3115;7.457;0.92;48.51520143;12000
1292;69;N;2000;12;11;2;0.29;0.01;0.3;0.06;0.11;0.07;1.2905;7.457;0.92;48.51520143;24000
1293;69;N;3000;12;11;2;0.64;0.03;0.68;0.06;0.11;0.07;2.848;22.371;0.92;48.51520143;36000
1294;69;N;4000;12;11;2;1.14;0.07;1.17;0.06;0.11;0.07;5.073;52.199;0.92;48.51520143;48000
1295;69;N;5000;12;11;2;1.78;0.13;1.69;0.05;0.11;0.07;7.921;96.941;0.92;58.21824171;60000
1256;66;W;12000;12;10;2;13.14;4.56;23.95;0.13;0.14;0.07;58.473;3400.392;0.83;32.15057635;144000
1257;66;W;13000;12;10;2;15.03;4.2;20.36;0.1;0.13;0.07;66.8835;3131.94;0.83;37.39857805;156000
1258;66;W;13999;12;10;2;17.09;3.64;16.41;0.07;0.13;0.07;76.0505;2714.348;0.83;53.42654007;167988
1259;66;W;15000;12;10;2;19.71;5.79;24.34;0.09;0.13;0.07;87.7095;4317.603;0.83;41.55397561;180000
1260;66;W;16000;12;10;2;22.53;7.18;28.3;0.09;0.13;0.07;100.2585;5354.126;0.83;41.55397561;192000
1296;69;N;6000;12;11;2;2.56;0.23;2.41;0.05;0.11;0.07;11.392;171.511;0.92;58.21824171;72000
1297;69;N;7000;12;11;2;3.6;0.63;5.72;0.09;0.11;0.07;16.02;469.791;0.92;32.34346762;84000
1298;69;N;8000;12;11;2;4.84;1.32;10.38;0.13;0.11;0.07;21.538;984.324;0.92;22.39163143;96000
1299;69;N;9000;12;11;2;6.28;2.38;16.63;0.16;0.12;0.07;27.946;1774.766;0.92;20.72964897;108000
1300;69;N;10000;12;11;2;7.94;3.94;24.84;0.2;0.12;0.07;35.333;2938.058;0.92;16.58371917;120000
1301;69;N;11000;12;11;2;9.84;6.16;35.3;0.23;0.12;0.07;43.788;4593.512;0.92;14.42062537;132000
1306;70;NULL;1000;12;12;2;0.08;0.01;0.09;0.07;0.12;0.07;0.356;7.457;1;47.38205478;12000
1307;70;NULL;2000;12;12;2;0.31;0.01;0.36;0.07;0.12;0.07;1.3795;7.457;1;47.38205478;24000
